unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz,cell_type
101,flicker_20Hz,362,2.1527777777777777,1.0416666666666665,2.066666666666667,0.3478260869565218,0.035867550199108034,0.017933775099554017,-0.002447571898242823,0.8902301265749868,133.5311950539907,True,0.9555849292746132,False,good,HPC,1344.91796875,1.4661759614767342,principal
97,flicker_20Hz,21,0.2777777777777778,0.0,inf,1.0,0.2980706653246794,0.1490353326623397,-0.026677893099137033,0.6325258901264728,116.02216959986593,False,0.873148275130032,False,good,HPC,1355.7359619140625,0.11670855602688522,unclassified
103,flicker_20Hz,3856,18.055555555555557,14.375,1.2560386473429952,0.11349036402569597,0.023997402664628475,0.011998701332314237,-0.00011539719258080974,0.5740195511325844,271.30057576977845,True,0.8610293266988766,False,good,HPC,1363.6138916015625,15.607296729697023,principal
105,flicker_20Hz,21,0.2777777777777778,0.0,inf,1.0,0.29862194874662606,0.14931097437331303,-0.026591544578276453,0.631448349982403,114.86091911682185,False,0.873148275130032,False,good,HPC,1373.565673828125,0.13609404499406277,principal
109,flicker_20Hz,1406,7.291666666666666,4.791666666666666,1.5217391304347827,0.20689655172413796,0.04547269630169338,0.02273634815084669,-0.00019443431509285944,0.483523547379908,231.9620683709025,True,0.8209455093935475,False,good,HPC,1397.14111328125,4.8515153307040455,principal
108,flicker_20Hz,115,0.7638888888888888,0.1388888888888889,5.499999999999999,0.6923076923076924,0.02561715783559679,0.012808578917798396,-0.008606431010546062,0.9813894023004357,86.78630058801932,False,0.9966557875416778,False,good,HPC,1402.908203125,0.49769275756549697,principal
117,flicker_20Hz,174,1.1805555555555556,0.2777777777777778,4.25,0.619047619047619,0.00878795756877304,0.00439397878438652,-0.00576092816980908,0.9966557875416777,115.81001075645125,False,0.9966557875416778,False,good,HPC,1462.09912109375,1.1967572270553484,principal
128,flicker_20Hz,1510,7.291666666666666,5.208333333333334,1.3999999999999997,0.16666666666666657,0.02490634132119122,0.01245317066059561,-0.0005075062930100079,0.7912790758666136,229.7411916985708,True,0.9555849292746132,False,good,HPC,1481.024169921875,5.488862733277985,principal
138,flicker_20Hz,946,5.486111111111111,2.7777777777777777,1.9749999999999999,0.32773109243697474,0.019609277110276237,0.009804638555138119,-0.0009619683951446896,0.9131144879735194,76.35244861242074,True,0.9555849292746132,False,good,HPC,1647.69873046875,3.940397349246701,principal
137,flicker_20Hz,3009,14.51388888888889,10.416666666666666,1.3933333333333335,0.16434540389972147,0.01471903823786809,0.007359519118934045,-0.0002782662806912151,0.8496335359290104,83.29998550664767,True,0.9555849292746132,False,good,HPC,1648.5931396484375,13.067797674996765,principal
136,flicker_20Hz,113,0.7638888888888888,0.1388888888888889,5.499999999999999,0.6923076923076924,0.06844109031928265,0.034220545159641326,-0.0077470699522713855,0.8765307654146032,167.6632084078344,False,0.9555849292746132,False,good,HPC,1668.7030029296875,0.6183575358305816,interneuron
142,flicker_20Hz,703,3.8194444444444446,2.0138888888888893,1.8965517241379308,0.3095238095238095,0.13950412399981676,0.06975206199990838,0.003447779426961625,0.03264473303595291,92.18186604408005,True,0.07345064933089404,False,good,HPC,1676.186279296875,2.6099198105402093,interneuron
143,flicker_20Hz,264,1.6666666666666667,0.6944444444444444,2.4000000000000004,0.411764705882353,0.10095014235569802,0.05047507117784901,-0.0012448613614146164,0.5108105391782073,13.199718461434788,True,0.8209455093935475,False,good,HPC,1676.8529052734375,2.2942132759318894,interneuron
158,flicker_20Hz,19,0.20833333333333334,0.0,inf,1.0,0.15660959494239773,0.07830479747119887,-0.049083267509272,0.8925438318001592,45.72792952095205,False,0.9555849292746132,False,good,HPC,1960.6185302734375,0.09059748925476853,interneuron
170,flicker_20Hz,2418,12.708333333333334,8.125,1.564102564102564,0.22,0.04585991682308652,0.02292995841154326,0.000112264491717766,0.28048150492765583,26.805769990467144,True,0.5487681618149788,False,good,HPC,2025.796142578125,11.272464023301833,principal
174,flicker_20Hz,768,4.513888888888889,2.2222222222222223,2.03125,0.3402061855670103,0.040263795821953226,0.020131897910976613,-0.000897959237592631,0.7326448331187217,248.71513158791726,True,0.9158060413984023,False,good,HPC,2044.546142578125,3.1926713462269958,principal
175,flicker_20Hz,3202,16.180555555555554,10.902777777777779,1.4840764331210188,0.1948717948717948,0.07767009339731903,0.03883504669865952,0.0011962296308599763,0.007984937034378982,7.064903955684714,True,0.022457635409190886,True,good,HPC,2050.2314453125,14.512214414163402,interneuron
15,phase_reversing_1,110,0.6944444444444444,0.3472222222222222,2.0,0.33333333333333337,0.1305935579414744,0.0652967789707372,-0.004871526350138863,0.6266446486294258,22.967750468087644,False,0.9570933866315744,False,good,CTX,422.42724609375,0.5637616689434286,principal
25,phase_reversing_1,5178,22.569444444444446,20.208333333333336,1.1168384879725086,0.05519480519480518,0.02745875369296444,0.01372937684648222,-4.629864142724537e-06,0.3768217782700238,280.98667516942663,True,0.9570933866315744,False,good,CTX,480.804443359375,17.962435828097185,interneuron
23,phase_reversing_1,1019,4.895833333333334,3.5416666666666665,1.3823529411764708,0.1604938271604939,0.06203424875361739,0.031017124376808695,-1.9311215428347574e-05,0.3752750927353732,110.22710798983796,True,0.9570933866315744,False,good,CTX,502.58251953125,6.988666583779414,principal
20,phase_reversing_1,2072,9.54861111111111,7.881944444444445,1.211453744493392,0.09561752988047804,0.009519053197595835,0.0047595265987979175,-0.00046019449076902674,0.9541578581803317,327.93852761624714,True,0.9921697752355652,False,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,phase_reversing_1,2493,11.145833333333332,9.20138888888889,1.2113207547169809,0.09556313993174054,0.01274351139532229,0.006371755697661145,-0.00036066854663643726,0.903757042576603,310.41510304705236,True,0.9919284613645643,False,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,phase_reversing_1,1480,6.875,5.416666666666666,1.2692307692307694,0.11864406779661023,0.03364995018581378,0.01682497509290689,-0.00039286133564714874,0.657805347238308,235.1704761100357,True,0.9570933866315744,False,good,CTX,555.851318359375,6.068844913398031,interneuron
32,phase_reversing_1,5079,22.395833333333336,19.756944444444443,1.1335676625659052,0.06260296540362448,0.029015261596056045,0.014507630798028023,1.3584874678581228e-05,0.34337401428527536,63.66493660541715,True,0.9570933866315744,False,good,CTX,582.375,21.277750063708364,principal
