unit,condition,baseline_mean_hz,baseline_sd_hz,baseline_cv,label,region,depth_um,fr_hz,cell_type
108,flicker_20Hz,0.36666666666666664,0.7352248333370928,2.0051586363738894,good,HPC,1402.908203125,0.49769275756549697,principal
117,flicker_20Hz,0.8416666666666667,2.772621603384702,3.294203885209547,good,HPC,1462.09912109375,1.1967572270553484,principal
128,flicker_20Hz,6.325,5.98179529907201,0.9457383872050608,good,HPC,1481.024169921875,5.488862733277985,principal
138,flicker_20Hz,3.625,2.042516829796024,0.5634529185644204,good,HPC,1647.69873046875,3.940397349246701,principal
137,flicker_20Hz,13.583333333333334,6.654050562543757,0.48986875307070604,good,HPC,1648.5931396484375,13.067797674996765,principal
136,flicker_20Hz,1.2166666666666666,2.6526192506443302,2.1802350005295867,good,HPC,1668.7030029296875,0.6183575358305816,interneuron
142,flicker_20Hz,3.441666666666667,3.509619716658139,1.0197442276004276,good,HPC,1676.186279296875,2.6099198105402093,interneuron
143,flicker_20Hz,2.6416666666666666,3.179480652908935,1.2035888906910794,good,HPC,1676.8529052734375,2.2942132759318894,interneuron
158,flicker_20Hz,0.075,0.22032173444003814,2.9376231258671752,good,HPC,1960.6185302734375,0.09059748925476853,interneuron
170,flicker_20Hz,10.616666666666667,7.116510536929052,0.6703149642319358,good,HPC,2025.796142578125,11.272464023301833,principal
174,flicker_20Hz,3.308333333333333,3.055175481412192,0.9234787349356752,good,HPC,2044.546142578125,3.1926713462269958,principal
175,flicker_20Hz,12.716666666666667,7.376972429270848,0.5801026812008531,good,HPC,2050.2314453125,14.512214414163402,interneuron
15,phase_reversing_1,0.2833333333333333,0.8581310441237338,3.0286978027896487,good,CTX,422.42724609375,0.5637616689434286,principal
25,phase_reversing_1,19.966666666666665,15.798698961904707,0.7912537042690171,good,CTX,480.804443359375,17.962435828097185,interneuron
23,phase_reversing_1,3.591666666666667,3.776563326035399,1.0514793483161204,good,CTX,502.58251953125,6.988666583779414,principal
20,phase_reversing_1,9.541666666666666,5.787408506596214,0.6065406295122671,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,phase_reversing_1,9.641666666666667,15.689458155787989,1.6272558156392036,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,phase_reversing_1,5.858333333333333,5.6877731924619574,0.9708858934501208,good,CTX,555.851318359375,6.068844913398031,interneuron
32,phase_reversing_1,20.975,4.844606107139499,0.2309704937849582,good,CTX,582.375,21.277750063708364,principal
35,phase_reversing_1,9.458333333333334,2.941501411788809,0.31099574397767143,good,CTX,599.0913696289062,8.014119387920724,principal
45,phase_reversing_1,0.275,0.4692636075100363,1.7064131182183138,good,CTX,738.1071166992188,0.2599238010497071,principal
50,phase_reversing_1,7.241666666666666,8.455516772432594,1.1676202677697483,good,CTX,766.4937744140625,8.659379234971063,interneuron
49,phase_reversing_1,12.825,5.946164730311463,0.4636385754628822,good,CTX,790.2333984375,12.928538652212142,principal
57,phase_reversing_1,3.0083333333333333,4.699726646897196,1.5622360045087633,good,CTX,799.13525390625,3.417384769356727,principal
56,phase_reversing_1,0.85,1.869269019340626,2.199140022753678,good,CTX,801.6923828125,1.461032872567075,principal
55,phase_reversing_1,0.7416666666666667,1.1884572165440184,1.6024142245537325,good,CTX,805.0826416015625,0.5582229578099492,principal
58,phase_reversing_1,0.15833333333333333,0.6089038420710523,3.8457084762382254,good,CTX,842.6435546875,1.3597535832691678,principal
65,phase_reversing_1,38.358333333333334,16.22859915567439,0.42307883960046205,good,CTX,872.6962890625,36.99463414940352,interneuron
64,phase_reversing_1,4.258333333333334,5.03031780529046,1.1812879386200688,good,CTX,879.1714477539062,5.669662089563702,principal
67,phase_reversing_1,0.2916666666666667,0.660124146573119,2.263282788250694,good,CTX,927.9193115234375,1.1939878714886087,principal
66,phase_reversing_1,0.2,0.6531972647421808,3.2659863237109037,good,CTX,939.7611694335938,0.27733117889778486,principal
72,phase_reversing_1,2.533333333333333,1.5542057635833022,0.613502275098672,good,CTX,956.0975341796875,2.0576311860875593,principal
77,phase_reversing_1,3.4,2.6814175355583845,0.7886522163407014,good,HPC,1062.6483154296875,3.2547840353667277,principal
79,phase_reversing_1,0.35,0.6006940430313367,1.7162686943752476,good,HPC,1104.9130859375,0.6132144469209223,principal
85,phase_reversing_1,14.891666666666667,8.508863842422729,0.5713842535482526,good,HPC,1198.19384765625,15.414628706696707,interneuron
89,phase_reversing_1,12.616666666666667,7.122948047605632,0.5645665559528903,good,HPC,1203.643798828125,11.821192047740103,principal
87,phase_reversing_1,0.225,0.5433307770901014,2.414803453733784,good,HPC,1216.047607421875,0.39720471271522967,principal
86,phase_reversing_1,9.858333333333333,7.566423454241038,0.7675154814107562,good,HPC,1216.7545166015625,8.941062258330867,unclassified
90,phase_reversing_1,16.691666666666666,5.818140930648629,0.3485656074277761,good,HPC,1262.096923828125,18.133344628787402,principal
98,phase_reversing_1,9.0,5.622128896897806,0.6246809885442006,good,HPC,1341.424072265625,10.66241455417147,principal
101,phase_reversing_1,2.0166666666666666,3.89761322977138,1.9327007750932463,good,HPC,1344.91796875,1.4661759614767342,principal
97,phase_reversing_1,0.06666666666666667,0.2494438257849294,3.7416573867739413,good,HPC,1355.7359619140625,0.11670855602688522,unclassified
103,phase_reversing_1,15.341666666666667,6.1199752632034565,0.3989120215015833,good,HPC,1363.6138916015625,15.607296729697023,principal
105,phase_reversing_1,0.075,0.2711856682545497,3.6158089100606627,good,HPC,1373.565673828125,0.13609404499406277,principal
109,phase_reversing_1,5.191666666666666,4.425392324102149,0.8524030158784236,good,HPC,1397.14111328125,4.8515153307040455,principal
108,phase_reversing_1,0.4583333333333333,0.7973480349815185,1.739668439959677,good,HPC,1402.908203125,0.49769275756549697,principal
117,phase_reversing_1,0.7916666666666666,2.908739226690644,3.6741969179250242,good,HPC,1462.09912109375,1.1967572270553484,principal
128,phase_reversing_1,6.333333333333333,6.054383168874891,0.9559552371907722,good,HPC,1481.024169921875,5.488862733277985,principal
