unit,label,region,depth_um,n_trials,count_pre,count_post,fr_pre,fr_post,pct_change,mod_index,p_raw,p_fdr,significant
29,mua,CTX,588.9581298828125,60,77,111,0.6416666666666667,0.925,44.15584415584416,0.18085106382978725,0.010550879055027149,0.10550879055027149,False
22,mua,CTX,503.4034729003906,60,55,73,0.4583333333333333,0.6083333333333333,32.72727272727273,0.140625,0.23583163946499375,0.5737210333919749,False
62,mua,CTX,877.8511352539062,60,14,76,0.11666666666666667,0.6333333333333333,442.85714285714283,0.6888888888888889,6.6862894819322446e-06,0.0002674515792772898,True
206,mua,HPC,2538.06640625,60,4349,5026,36.24166666666667,41.88333333333333,15.566796964819499,0.07221333333333334,0.8539693004482416,0.9722427582135441,False
205,mua,HPC,2536.6416015625,60,4299,5150,35.825,42.916666666666664,19.795301232844846,0.090062440469891,0.40753343019338495,0.7165422948455119,False
196,mua,HPC,2384.36865234375,60,3843,4366,32.025,36.38333333333333,13.609159510798856,0.06371056157875503,0.3612655331230634,0.7067828809782974,False
179,mua,HPC,2093.244873046875,60,3205,3243,26.708333333333332,27.025,1.185647425897036,0.005893300248138958,0.8974785120844406,0.9751431903793352,False
115,mua,HPC,1410.151611328125,60,3839,3726,31.991666666666667,31.05,-2.943474863245637,-0.014937210839391937,0.2821815061305212,0.6359019856462449,False
93,mua,HPC,1309.1307373046875,60,3170,3149,26.416666666666668,26.241666666666667,-0.6624605678233438,-0.00332331065041937,0.941299837940102,0.9779738576001059,False
195,mua,HPC,2384.6845703125,60,2996,3411,24.966666666666665,28.425,13.851802403204273,0.06477290463555486,0.3671082421828934,0.7067828809782974,False
107,mua,HPC,1366.1378173828125,60,2929,3060,24.408333333333335,25.5,4.472516217138955,0.021873434630155286,0.44803351913211165,0.7507331151100257,False
160,mua,HPC,1973.4671630859375,60,2162,2247,18.016666666666666,18.725,3.93154486586494,0.019278748015422998,0.6692250706274123,0.8705366772389104,False
162,mua,HPC,1953.154052734375,60,2097,2145,17.475,17.875,2.2889842632331905,0.011315417256011316,0.608752421624253,0.8539646052030352,False
130,mua,HPC,1537.6485595703125,60,2074,2142,17.283333333333335,17.85,3.278688524590164,0.016129032258064516,0.4772146082787543,0.7596160788399987,False
157,mua,HPC,1935.87744140625,60,1711,1751,14.258333333333333,14.591666666666667,2.33781414377557,0.011554015020219527,0.9178854167598258,0.9751431903793352,False
99,mua,HPC,1343.5479736328125,60,1694,1570,14.116666666666667,13.083333333333334,-7.319952774498229,-0.03799019607843137,0.29214385925190545,0.6473564000278383,False
183,mua,HPC,2115.36962890625,60,1473,1568,12.275,13.066666666666666,6.449422946367957,0.031239723775073988,0.42643060152111045,0.7416184374280183,False
154,mua,HPC,1891.9034423828125,60,1489,1518,12.408333333333333,12.65,1.9476158495634655,0.009644163618224144,0.8337021792435598,0.9722427582135441,False
126,mua,HPC,1491.674072265625,60,1477,1449,12.308333333333334,12.075,-1.8957345971563981,-0.009569377990430622,0.9559327059810061,0.9855346222451378,False
172,mua,HPC,2055.85498046875,60,1348,1490,11.233333333333333,12.416666666666666,10.534124629080118,0.05003523608174771,0.06769662854528893,0.3271481317581242,False
169,mua,HPC,1997.716796875,60,1241,1289,10.341666666666667,10.741666666666667,3.8678485092667203,0.018972332015810278,0.6962649580422866,0.8912191462941269,False
168,mua,HPC,1994.9326171875,60,1161,1330,9.675,11.083333333333334,14.556416881998278,0.06784423926134082,0.20792385171089012,0.5453740372744659,False
114,mua,HPC,1418.731201171875,60,1374,1341,11.45,11.175,-2.4017467248908297,-0.012154696132596685,0.6851496311581906,0.8840640402041169,False
113,mua,HPC,1419.045654296875,60,1345,1293,11.208333333333334,10.775,-3.866171003717472,-0.019711902956785442,0.6478347419170044,0.8637796558893391,False
92,mua,HPC,1271.423828125,60,1218,1275,10.15,10.625,4.679802955665025,0.02286401925391095,0.7181635946855021,0.9047730326746484,False
155,mua,HPC,1893.3917236328125,60,1200,1165,10.0,9.708333333333334,-2.9166666666666665,-0.014799154334038054,0.8394230384764965,0.9722427582135441,False
153,mua,HPC,1856.607421875,60,1091,1061,9.091666666666667,8.841666666666667,-2.749770852428964,-0.013940520446096654,0.5804875334356708,0.8520917921991499,False
185,mua,HPC,2179.346923828125,60,1106,1261,9.216666666666667,10.508333333333333,14.014466546112116,0.0654837346852556,0.15930834897804247,0.4809308648393735,False
184,mua,HPC,2179.62841796875,60,1093,1078,9.108333333333333,8.983333333333333,-1.3723696248856359,-0.006909258406264394,0.7401418166362925,0.9109437743215908,False
88,mua,HPC,1212.61376953125,60,1022,1039,8.516666666666667,8.658333333333333,1.6634050880626223,0.008248423095584668,0.8480379333111987,0.9722427582135441,False
192,mua,HPC,2349.681640625,60,1030,1440,8.583333333333334,12.0,39.80582524271845,0.1659919028340081,0.14469413143859267,0.46302122060349654,False
118,mua,HPC,1436.7525634765625,60,1040,1082,8.666666666666666,9.016666666666667,4.038461538461538,0.019792648444863337,0.5984720666367673,0.8539646052030352,False
132,mua,HPC,1567.6287841796875,60,1024,981,8.533333333333333,8.175,-4.19921875,-0.02144638403990025,0.9324806758002392,0.9751431903793352,False
129,mua,HPC,1544.405517578125,60,1095,1158,9.125,9.65,5.7534246575342465,0.02796271637816245,0.8567889306756857,0.9722427582135441,False
204,mua,HPC,2524.290771484375,60,932,1178,7.766666666666667,9.816666666666666,26.394849785407725,0.11658767772511848,0.23572169715232527,0.5737210333919749,False
122,mua,HPC,1446.6519775390625,60,963,1004,8.025,8.366666666666667,4.257528556593977,0.020843924758515507,0.9177767639069623,0.9751431903793352,False
148,mua,HPC,1756.7283935546875,60,898,977,7.483333333333333,8.141666666666667,8.797327394209354,0.042133333333333335,0.2720243080781414,0.6247725528321837,False
145,mua,HPC,1745.724365234375,60,787,868,6.558333333333334,7.233333333333333,10.292249047013977,0.04894259818731118,0.22386866261524951,0.5685553336260305,False
150,mua,HPC,1812.88720703125,60,811,953,6.758333333333334,7.941666666666666,17.50924784217016,0.08049886621315193,0.090155979992591,0.360623919970364,False
190,mua,HPC,2294.13427734375,60,868,900,7.233333333333333,7.5,3.686635944700461,0.01809954751131222,0.7042912563963251,0.8943381033604128,False
203,mua,HPC,2514.4150390625,60,730,938,6.083333333333333,7.816666666666666,28.493150684931507,0.12470023980815348,0.0776976812925545,0.3271481317581242,False
164,mua,HPC,2031.1707763671875,60,809,794,6.741666666666666,6.616666666666666,-1.854140914709518,-0.009357454772301934,0.7963570316679907,0.9504177226520838,False
124,mua,HPC,1490.3388671875,60,798,830,6.65,6.916666666666667,4.010025062656641,0.019656019656019656,0.4748466910364473,0.7596160788399987,False
120,mua,HPC,1439.46923828125,60,767,761,6.391666666666667,6.341666666666667,-0.7822685788787483,-0.003926701570680628,0.9911737869541823,0.9911737869541823,False
123,mua,HPC,1458.62841796875,60,743,874,6.191666666666666,7.283333333333333,17.63122476446837,0.08101422387136673,0.05810571903080471,0.3271481317581242,False
102,mua,HPC,1346.02197265625,60,806,809,6.716666666666667,6.741666666666666,0.37220843672456577,0.0018575851393188853,0.973519741170708,0.9855346222451378,False
194,mua,HPC,2334.79296875,60,790,880,6.583333333333333,7.333333333333333,11.39240506329114,0.05389221556886228,0.18597743072672435,0.524739123666818,False
188,mua,HPC,2233.57275390625,60,793,772,6.608333333333333,6.433333333333334,-2.648171500630517,-0.0134185303514377,0.6137870599896815,0.8539646052030352,False
141,mua,HPC,1694.698974609375,60,720,705,6.0,5.875,-2.0833333333333335,-0.010526315789473684,0.9676623454428462,0.9855346222451378,False
159,mua,HPC,1928.7998046875,60,688,730,5.733333333333333,6.083333333333333,6.104651162790698,0.029619181946403384,0.5554738699623907,0.8260319015749189,False
173,mua,HPC,2037.5264892578125,60,734,729,6.116666666666666,6.075,-0.6811989100817438,-0.003417634996582365,0.7907158954518863,0.9504177226520838,False
134,mua,HPC,1609.666259765625,60,695,833,5.791666666666667,6.941666666666666,19.85611510791367,0.09031413612565445,0.051323876088597085,0.3041414879324272,False
