unit,region,depth_um,fr_pre,fr_stim,pct_change,log2_ratio,mod_index,p_raw,z_pct,z_log2,p_fdr,responder_z2sd,responder_wilcoxon,condition
72,CTX,956.0975341796875,2.475,1.8333333333333333,-25.92592592592593,-0.43295940727610627,-0.14893617021276598,0.0336736628249977,-0.5301582890037583,-0.9069688171534971,0.13095313320832438,False,False,flicker_40Hz
77,CTX,1062.6483154296875,2.7416666666666667,3.0125,9.878419452887544,0.1359080632158764,0.047067342505430876,0.7098248757887902,-0.15904026266653942,0.0019090382424210228,0.8079189559041076,False,False,flicker_40Hz
79,HPC,1104.9130859375,0.825,0.7875,-4.545454545454543,-0.06711419585853691,-0.02325581395348836,0.7931743191199898,-0.30854612833079353,-0.3224590175819062,0.8675344115374889,False,False,flicker_40Hz
85,HPC,1198.19384765625,14.666666666666666,15.041666666666666,2.556818181818182,0.036423408249873813,0.012622720897615708,0.5707500980194788,-0.23492988401275658,-0.15703729731110336,0.8079189559041076,False,False,flicker_40Hz
87,HPC,1216.047607421875,0.43333333333333335,0.35,-19.23076923076924,-0.30812229536233204,-0.1063829787234043,0.7155853609436381,-0.4607618704283963,-0.7075169369960951,0.8079189559041076,False,False,flicker_40Hz
86,HPC,1216.7545166015625,7.925,8.495833333333334,7.202944269190331,0.10034452915603308,0.03476275057092111,0.3348015198142975,-0.18677201028495719,-0.05491071370904098,0.6167396417631796,False,False,flicker_40Hz
90,HPC,1262.096923828125,17.341666666666665,17.933333333333334,3.4118212397885745,0.04840111282128972,0.016772974249940995,0.1541708151315737,-0.22606763436039962,-0.13790055455796363,0.3854270378289343,False,False,flicker_40Hz
98,HPC,1341.424072265625,9.508333333333333,10.75,13.058720420683617,0.17707227402193482,0.06129164952694367,0.080992863857211,-0.12607591138907617,0.06767697467253395,0.23622918625019873,False,False,flicker_40Hz
101,HPC,1344.91796875,2.4,1.8666666666666667,-22.222222222222218,-0.36257007938470825,-0.12499999999999997,0.5829111910413615,-0.49176878085568554,-0.7945079986057867,0.8079189559041076,False,False,flicker_40Hz
97,HPC,1355.7359619140625,0.14166666666666666,0.19166666666666668,35.29411764705884,0.43609911480667357,0.15000000000000002,0.644659259961353,0.10439769862026582,0.481523383114219,0.8079189559041076,False,False,flicker_40Hz
105,HPC,1373.565673828125,0.19166666666666668,0.22916666666666666,19.565217391304333,0.2577977574676467,0.08910891089108905,0.71020744240607,-0.058634982402431646,0.19665183802072983,0.8079189559041076,False,False,flicker_40Hz
117,HPC,1462.09912109375,0.6166666666666667,0.6083333333333333,-1.3513513513513644,-0.019628806748932675,-0.00680272108843544,0.9276178858918661,-0.2754387146699252,-0.24659175349093537,0.9756625089156761,False,False,flicker_40Hz
128,HPC,1481.024169921875,6.466666666666667,6.454166666666667,-0.1932989690721677,-0.0027914133975592064,-0.0009674298613350669,0.32308726803082,-0.2634353081012666,-0.21969070051559308,0.6167396417631796,False,False,flicker_40Hz
