unit,condition,vs_f0,ppc_f0,p_f0,n_spikes,vs_2f0,ppc_2f0,p_2f0,q_f0,q_2f0,reliable,locked_at_2f0_only,label,region,depth_um,fr_hz,cell_type
25,flicker_20Hz,0.24215752916250446,0.05846245258496832,1.3419009202077455e-137,5295,0.12854990860893484,0.016339307390030283,6.989335945135624e-39,3.0192770704674275e-136,1.4897771293890428e-37,True,False,good,CTX,480.804443359375,17.962435828097185,interneuron
23,flicker_20Hz,0.5291161171516496,0.27952158279169576,6.099752844102544e-215,1629,0.2302436882409533,0.05243046810991694,9.931847529260286e-39,2.7448887798461448e-213,1.4897771293890428e-37,True,False,good,CTX,502.58251953125,6.988666583779414,principal
20,flicker_20Hz,0.2693610553566581,0.07157395526258052,4.431690295186825e-31,946,0.13606229842280443,0.017474338416172578,2.3048102838257006e-08,2.492825791042589e-30,1.1524051419128503e-07,True,False,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,flicker_20Hz,0.1900801045171,0.035779948113643746,2.7817035015523087e-44,2751,0.02731287860257802,0.00038262824422736753,0.1284471923146384,2.0862776261642315e-43,0.39815473067585977,True,False,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,flicker_20Hz,0.16345904142162224,0.02629254147180653,2.1051393627343346e-27,2284,0.2156738348164239,0.046097557471651375,2.0955636569103296e-47,9.473127132304506e-27,9.430036456096483e-46,True,False,good,CTX,555.851318359375,6.068844913398031,interneuron
32,flicker_20Hz,0.25874914738812543,0.06673892002806732,8.349351477890973e-131,4398,0.07917504203965746,0.006042685164010633,1.0213659055213508e-12,1.2524027216836458e-129,7.660244291410131e-12,True,False,good,CTX,582.375,21.277750063708364,principal
35,flicker_20Hz,0.22552564315031484,0.05010371812708388,9.392431864461739e-29,1253,0.11985431437331649,0.013577808316608563,1.438230446538513e-08,4.696215932230869e-28,8.090046261779135e-08,True,False,good,CTX,599.0913696289062,8.014119387920724,principal
45,flicker_20Hz,0.3156061879173067,0.0759127202162126,0.019576340154992156,39,0.095845925263615,-0.016887599626423673,0.7015019084365065,0.04894085038748039,0.8768773855456331,False,False,good,CTX,738.1071166992188,0.2599238010497071,principal
50,flicker_20Hz,0.26004591321205217,0.0673759046051461,4.2323274146291666e-113,3761,0.09016274562059559,0.007865525304412804,4.9704686901887306e-14,3.80909467316625e-112,4.473421821169858e-13,True,False,good,CTX,766.4937744140625,8.659379234971063,interneuron
49,flicker_20Hz,0.27724379105065733,0.07659300781701459,1.1135701057264915e-116,3406,0.12434042522106128,0.01517139612869006,1.1091033253874093e-23,1.2527663689423029e-115,1.2477412410608354e-22,True,False,good,CTX,790.2333984375,12.928538652212142,principal
57,flicker_20Hz,0.0659693166626851,0.0031523747779789012,0.026830055650914175,831,0.01618800024636998,-0.0009424522006115055,0.804408568476973,0.063544868646902,0.9120132192154621,True,False,good,CTX,799.13525390625,3.417384769356727,principal
56,flicker_20Hz,0.1791313610857124,0.0276884447268036,0.0007984211874548558,221,0.09214280788056721,0.003983434757952004,0.15318749028349318,0.002763765648882193,0.43083981642232455,True,False,good,CTX,801.6923828125,1.461032872567075,principal
55,flicker_20Hz,0.10469587993749316,0.006361046937634288,0.09360834928683563,216,0.059125432830590276,-0.001139086370235336,0.47047659812693976,0.20058931990036205,0.7561231041325817,True,False,good,CTX,805.0826416015625,0.5582229578099492,principal
58,flicker_20Hz,0.08289755595574304,0.006258962811079644,1.429971772862231e-05,1621,0.029534576700113925,0.00025554572160852655,0.24320361649373934,5.362394148233367e-05,0.49746194282810313,True,False,good,CTX,842.6435546875,1.3597535832691678,principal
65,flicker_20Hz,0.08920711993566174,0.00785905204195866,1.7671489757351993e-35,10036,0.02466596923824326,0.0005088194465375444,0.002228051508857015,1.1360243415440567e-34,0.010026231789856569,True,False,good,CTX,872.6962890625,36.99463414940352,interneuron
64,flicker_20Hz,0.12101056430124424,0.012409188320289026,0.0015201787607396467,442,0.056991411539374745,0.000987812420065004,0.23807565535351105,0.0045605362822189405,0.49746194282810313,True,False,good,CTX,879.1714477539062,5.669662089563702,principal
67,flicker_20Hz,0.13796243630139346,0.018475314896710195,2.5257673817165835e-15,1758,0.11412783532074847,0.012463424128406255,1.060920413090717e-10,1.0332684743386023e-14,6.820202655583181e-10,True,False,good,CTX,927.9193115234375,1.1939878714886087,principal
66,flicker_20Hz,0.24470377100808474,-0.04457784939380314,0.5608811437565512,10,0.4125485870409113,0.07799592963272484,0.18473639227253497,0.8610293266988766,0.48900809719200433,False,False,good,CTX,939.7611694335938,0.27733117889778486,principal
72,flicker_20Hz,0.12593305496194185,0.01246554514008901,0.009799333289292793,291,0.06011342059235393,0.00017780824336604558,0.34969025815405474,0.025939411648127984,0.6556692340388527,True,False,good,CTX,956.0975341796875,2.0576311860875593,principal
77,flicker_20Hz,0.09904402491404395,0.008327398091040784,0.0013962874401789954,669,0.058619902509123405,0.0019444311333081435,0.1003454038105576,0.004488066772003914,0.376295264289591,True,False,good,HPC,1062.6483154296875,3.2547840353667277,principal
79,flicker_20Hz,0.08601334884619577,-0.01516083345254133,0.7190224601073794,45,0.1416903062319885,-0.0021948538726099896,0.40741263789357174,0.9158060413984023,0.7089230326433594,False,False,good,HPC,1104.9130859375,0.6132144469209223,principal
85,flicker_20Hz,0.009199281306912771,-0.00017864741333187145,0.7250884614593778,3799,0.008116226414865065,-0.00019740599644688635,0.7786269640172081,0.9158060413984023,0.9120132192154621,True,False,good,HPC,1198.19384765625,15.414628706696707,interneuron
89,flicker_20Hz,0.016213477227593528,-0.00012163743432730241,0.5047680951950326,2601,0.0241609485065153,0.0001993605679009202,0.2190912045472804,0.8209455093935475,0.49746194282810313,True,False,good,HPC,1203.643798828125,11.821192047740103,principal
87,flicker_20Hz,0.03432181324866659,-0.0046630775396237925,0.8170249541892924,172,0.07055662407207906,-0.0008406035176773446,0.42535381958601565,0.9555849292746132,0.7089230326433594,False,False,good,HPC,1216.047607421875,0.39720471271522967,principal
