unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz
104,flicker_40Hz,464,2.5347222222222223,1.3194444444444444,1.9210526315789476,0.3153153153153153,0.1755754201680522,0.0877877100840261,0.005563499929576275,0.027905118040134604,333.7765520703035,True,0.2767173013919631,False,mua,HPC,1370.7872314453125,1.6635914511628893
112,flicker_40Hz,1293,6.354166666666666,4.722222222222222,1.3455882352941175,0.1473354231974921,0.06258523796600744,0.03129261898300372,0.00020599211117675736,0.2819678742783166,222.84625219870188,True,0.7407560793415142,False,mua,HPC,1395.1429443359375,4.780698952640274
111,flicker_40Hz,448,2.326388888888889,1.4583333333333335,1.5952380952380951,0.22935779816513754,0.09930170853474886,0.04965085426737443,0.00023358586936703365,0.33158839030777243,183.05468115967838,True,0.7489160628920196,False,mua,HPC,1396.742431640625,2.2692890758312325
115,flicker_40Hz,7629,33.541666666666664,29.51388888888889,1.1364705882352941,0.06387665198237881,0.010211615477789622,0.005105807738894811,-0.00010502327200141949,0.8196558324664218,258.13467950617337,True,0.9572622860921716,False,mua,HPC,1410.151611328125,27.26034933231365
110,flicker_40Hz,711,3.7152777777777772,2.2569444444444446,1.6461538461538459,0.2441860465116278,0.10420471689350026,0.05210235844675013,0.0013100285102991467,0.14513763405311247,39.68423672785312,True,0.5958270516951036,False,mua,HPC,1414.1494140625,2.6475039218031045
114,flicker_40Hz,2610,11.840277777777779,9.930555555555555,1.1923076923076925,0.08771929824561407,0.03443386033268392,0.01721693016634196,-8.675231653486552e-05,0.46136198296832676,337.92223089213843,True,0.7859591826777483,False,mua,HPC,1418.731201171875,10.58289448718366
113,flicker_40Hz,2614,12.01388888888889,9.027777777777779,1.3307692307692307,0.14191419141914188,0.06859994094863513,0.03429997047431756,0.0007942363434539203,0.046159339210867,0.14860926593854842,True,0.32110844668429217,False,mua,HPC,1419.045654296875,10.331278752834171
118,flicker_40Hz,2068,9.895833333333332,7.8125,1.2666666666666666,0.11764705882352935,0.07026676589227299,0.03513338294613649,0.0007511588326521825,0.07786210424092739,3.31042267619132,True,0.46009495683754226,False,mua,HPC,1436.7525634765625,8.014515010144544
120,flicker_40Hz,1529,6.875,5.798611111111111,1.18562874251497,0.08493150684931511,0.027196645526773998,0.013598322763386999,-0.00046941486253716374,0.7537800066849238,354.0722986938048,True,0.9136727353756652,False,mua,HPC,1439.46923828125,6.3972113591685895
122,flicker_40Hz,1895,8.819444444444445,7.013888888888888,1.2574257425742574,0.1140350877192983,0.017325945705569102,0.008662972852784551,-0.0004528963822924416,0.8674656153180094,189.6121405376453,True,0.9667465768064952,False,mua,HPC,1446.6519775390625,7.386266918718464
123,flicker_40Hz,1576,7.326388888888888,5.833333333333333,1.255952380952381,0.11345646437994722,0.029926026361431643,0.014963013180715821,-0.0004108867179737587,0.7027449589926947,81.1533225145585,True,0.9003596476244511,False,mua,HPC,1458.62841796875,6.303844514347081
119,flicker_40Hz,1079,5.069444444444445,3.9930555555555554,1.2695652173913046,0.1187739463601533,0.015151336880769651,0.007575668440384826,-0.0008701997942933067,0.9399798623934944,16.236074303366006,True,0.9792478282420495,False,mua,HPC,1459.12548828125,3.6448675480531985
121,flicker_40Hz,1437,6.979166666666667,5.243055555555555,1.3311258278145697,0.14204545454545459,0.06737686058027316,0.03368843029013658,0.00043932183286145114,0.1957804510007841,315.0011045995011,True,0.652601503335947,False,mua,HPC,1463.572265625,5.902287957169833
116,flicker_40Hz,356,1.7361111111111112,1.2847222222222223,1.3513513513513513,0.14942528735632182,0.06414231871419294,0.03207115935709647,-0.0017854447959071932,0.6936780383870604,0.2360830919564061,True,0.9003596476244511,False,mua,HPC,1466.636474609375,1.435713050242598
127,flicker_40Hz,710,3.6805555555555554,2.291666666666667,1.6060606060606057,0.23255813953488363,0.023351463583691303,0.011675731791845652,-0.0012739222480376137,0.9078062495923277,4.062870532341803,True,0.9667465768064952,False,mua,HPC,1473.04736328125,2.76223436671089
125,flicker_40Hz,824,4.340277777777778,2.9166666666666665,1.4880952380952381,0.19617224880382775,0.08341298780460144,0.04170649390230072,0.0005264783306258337,0.23858129583072155,201.37393567802522,True,0.7340962948637586,False,mua,HPC,1475.7177734375,3.31531423561118
124,flicker_40Hz,1613,7.673611111111111,6.006944444444445,1.2774566473988438,0.12182741116751265,0.04888178300963327,0.024440891504816636,-2.261964802202125e-05,0.38159999805406786,73.1487875416594,True,0.7550159097522346,False,mua,HPC,1490.3388671875,6.540822226415232
