unit,label,contam_pct,n_spikes,fr_hz,depth_um,contam_pct_recomputed,hill_fp_pct,region,near_boundary,template,peak_channel,trough_to_peak_ms,half_width_ms,peak_trough_ratio,amplitude_au,repolarises,positive_dominant,burst_index,theta_index,rhythmicity_reliable,cell_type,cell_type_consistent
79,good,4.5,1550,0.6132144469209223,1104.9130859375,4.504504504465847,,HPC,False,79,55,0.6666666666666666,0.3333333333333333,0.1489996255004698,285.9615783691406,True,False,1.113013698630137,-0.09689213893967094,True,principal,True
85,good,0.0,38963,15.414628706696707,1198.19384765625,0.0,0.11111928748553934,HPC,False,85,60,0.23333333333333334,0.13333333333333333,0.29441220694775383,1179.062255859375,True,False,1.2870998035022372,0.1901098901098901,True,interneuron,True
89,good,14.8,29880,11.821192047740103,1203.643798828125,14.83003528740099,16.925048887783184,HPC,False,89,60,0.5,0.26666666666666666,0.2874079503218837,466.30535888671875,True,False,0.18219467265466377,0.020116339233917077,True,principal,True
87,good,0.0,1004,0.39720471271522967,1216.047607421875,0.0,0.0,HPC,False,87,61,0.5666666666666667,0.16666666666666666,0.14788929131843812,287.4983825683594,True,False,2.571115973741794,0.0684931506849315,True,principal,True
86,good,3.2,22600,8.941062258330867,1216.7545166015625,3.218768999584925,6.518437987782455,HPC,False,86,61,0.5333333333333333,0.3,-0.04372166298101283,352.69842529296875,False,True,3.848959418822759,-0.0032845956621162524,True,unclassified,False
90,good,9.2,45835,18.133344628787402,1262.096923828125,9.164462023721034,6.798669407841268,HPC,False,90,63,0.5,0.16666666666666666,0.22623806168505037,468.2148742675781,True,False,0.08841215890795502,0.03784319822507587,True,principal,False
98,good,7.6,26951,10.66241455417147,1341.424072265625,7.618778878742875,9.910644902514825,HPC,False,98,67,1.0333333333333334,0.26666666666666666,0.1724006550544858,560.871337890625,True,False,2.399242505230685,-0.07237933293378124,True,principal,True
101,good,1.8,3706,1.4661759614767342,1344.91796875,1.7961383026317688,24.304392518718824,HPC,False,101,67,1.0666666666666667,0.4333333333333333,0.3070079986626351,710.2872314453125,True,False,12.952586206896552,0.15553640672124083,True,principal,True
97,good,0.0,295,0.11670855602688522,1355.7359619140625,0.0,0.0,HPC,False,97,67,0.4333333333333333,0.8,-0.4111392268309891,774.78076171875,False,True,,-0.1333333333333333,False,unclassified,False
103,good,10.8,39450,15.607296729697023,1363.6138916015625,10.754849732975886,10.253327221042602,HPC,False,103,69,1.1,0.3666666666666667,0.24832412630931128,531.772216796875,True,False,0.2383645131395002,-0.027236013880636872,True,principal,False
105,good,0.0,344,0.13609404499406277,1373.565673828125,0.0,,HPC,False,105,69,1.0666666666666667,0.16666666666666666,0.1580649735026545,1183.47998046875,True,False,,-0.2521739130434783,False,principal,True
