unit,region,depth_um,fr_hz,condition,n_cycle_spikes,mod_depth,mod_depth_norm,fr_peak,fr_trough,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_p_fdr
59,CTX,851.4287719726562,1.57892829526542,flicker_40Hz,328,2.0,0.3333333333333333,1.7361111111111112,0.8680555555555556,0.015451507023786368,-0.0028186247867510485,0.9247839325116292,329.5211455566462,True,0.9734567710648728
7,CTX,186.6515655517578,1.428591850213839,flicker_40Hz,367,1.757575757575758,0.27472527472527486,2.0138888888888893,1.1458333333333333,0.09797752552147576,0.006893583473178407,0.02940121327289608,224.4199745673043,True,0.2767173013919631
16,CTX,424.6138000488281,1.240275671675543,flicker_40Hz,279,1.9130434782608696,0.3134328358208955,1.527777777777778,0.7986111111111112,0.05899513243940548,-0.00010417713388311178,0.37902864427712735,277.622688370404,True,0.7550159097522346
68,CTX,932.6470336914062,1.1904272714742292,flicker_40Hz,294,2.1739130434782608,0.3698630136986301,1.7361111111111112,0.7986111111111112,0.024796092516682595,-0.0027960246279720496,0.8348647563702196,16.7042468803333,True,0.9620650954855664
17,CTX,462.4216613769531,1.0749055821188038,flicker_40Hz,222,1.8333333333333335,0.2941176470588236,1.1458333333333335,0.625,0.08490563262708711,0.002716699331678305,0.20196327906236575,275.7526086378666,True,0.6594719316322146
26,CTX,548.7279663085938,0.7591990475104838,flicker_40Hz,151,2.8888888888888884,0.48571428571428565,0.9027777777777777,0.3125,0.16912371480698185,0.02212684978284742,0.013091463567871756,323.14368354909334,False,0.1904212882599528
29,CTX,588.9581298828125,0.6401167581406789,flicker_40Hz,146,2.4000000000000004,0.411764705882353,0.8333333333333334,0.3472222222222222,0.07932967451923295,-0.0005599531044013398,0.39967393086355857,267.63605583575014,False,0.7550159097522346
22,CTX,503.4034729003906,0.5598054467052291,flicker_40Hz,137,2.5,0.42857142857142866,0.8680555555555556,0.3472222222222222,0.08906687830741013,0.0006382978468051444,0.3379028425207352,255.60317598787503,False,0.7489160628920196
62,CTX,877.8511352539062,0.22748277869647118,flicker_40Hz,20,inf,1.0,0.20833333333333334,0.0,0.15863101548092862,-0.026143369397357247,0.6101949846799654,10.545484311383287,False,0.8795603382774275
206,HPC,2538.06640625,37.26286601715344,flicker_40Hz,8007,1.1414473684210527,0.06605222734254988,36.14583333333333,31.666666666666664,0.012278677802122153,2.5878439925880184e-05,0.29904748448754304,301.15611450670923,True,0.7445832339590943
205,HPC,2536.6416015625,37.20945701693775,flicker_40Hz,8226,1.115138592750533,0.05443548387096774,36.31944444444444,32.56944444444444,0.002372216416037505,-0.00011595245220426946,0.9547666325359981,282.8345407284036,True,0.9792478282420495
196,HPC,2384.36865234375,30.691976501727893,flicker_40Hz,8097,2.1112637362637363,0.3571743929359823,53.36805555555556,25.27777777777778,0.03059559271958693,0.0008126881311026953,0.0005101379520817621,240.05696878979845,True,0.016324414466616387
179,HPC,2093.244873046875,28.42189618144902,flicker_40Hz,6604,1.2296918767507006,0.10301507537688452,30.486111111111114,24.791666666666664,0.01810958267232832,0.00017656034015949793,0.11465341046385664,333.46811780603866,True,0.5395454610063842
115,HPC,1410.151611328125,27.26034933231365,flicker_40Hz,7629,1.1364705882352941,0.06387665198237881,33.541666666666664,29.51388888888889,0.005105807738894811,-0.00010502327200141949,0.8196558324664218,258.13467950617337,True,0.9572622860921716
93,HPC,1309.1307373046875,26.173970705704065,flicker_40Hz,6332,1.1276297335203367,0.05998681608437705,27.916666666666664,24.756944444444443,0.010127183589311068,-5.53768829468325e-05,0.5223725094756604,325.7711244266865,True,0.8195465010285424
195,HPC,2384.6845703125,23.959277496759984,flicker_40Hz,6223,2.3250950570342206,0.39851343624928526,42.46527777777778,18.26388888888889,0.03514409979877407,0.0010745862315004358,0.00045837074921758645,168.4761303246781,True,0.016324414466616387
107,HPC,1366.1378173828125,23.43151745018417,flicker_40Hz,6148,1.165446559297218,0.07640297498309662,27.638888888888886,23.71527777777778,0.0029202493938021924,-0.00015415173875105436,0.9489253833550392,183.95716994125033,True,0.9792478282420495
160,HPC,1973.4671630859375,19.27313225561268,flicker_40Hz,4441,1.1143984220907297,0.05410447761194021,19.618055555555554,17.604166666666668,0.008569085320508242,-0.00015177946388173524,0.7217557783908709,20.142490555071554,True,0.9082033153843198
162,HPC,1953.154052734375,18.08270498413845,flicker_40Hz,4292,1.2163865546218489,0.09763033175355451,20.104166666666668,16.52777777777778,0.016503027447284466,3.9367474915320114e-05,0.3107180877962718,68.88493359393152,True,0.7489160628920196
130,HPC,1537.6485595703125,16.922345001674536,flicker_40Hz,3981,1.1613636363636362,0.07465825446897995,17.743055555555554,15.277777777777779,0.010721462343764686,-0.00013627764477033413,0.6328191171073237,347.2072285810182,True,0.8960270684705469
157,HPC,1935.87744140625,14.61151559234221,flicker_40Hz,3407,1.3225806451612903,0.1388888888888889,15.659722222222221,11.840277777777777,0.029140728175615388,0.0005558318278119763,0.05539018468016286,44.30288561074961,True,0.3628923992362121
99,HPC,1343.5479736328125,13.857855255965205,flicker_40Hz,3447,1.188976377952756,0.08633093525179857,15.729166666666666,13.229166666666666,0.010876951977971174,-0.00017184911007275952,0.6651379086240182,340.58484925552347,True,0.9003596476244511
183,HPC,2115.36962890625,12.54043325064477,flicker_40Hz,2916,1.2018633540372672,0.09167842031029629,13.4375,11.180555555555554,0.02522418037522192,0.0002934243731233778,0.1564046010699647,315.17444475950134,True,0.5958270516951036
154,HPC,1891.9034423828125,12.459330694761682,flicker_40Hz,3034,1.2011834319526626,0.09139784946236558,14.097222222222221,11.73611111111111,0.019267864772186255,4.1666455481590145e-05,0.32423287405746737,348.4052419222819,True,0.7489160628920196
126,HPC,1491.674072265625,11.910602670323412,flicker_40Hz,2850,1.2307692307692308,0.10344827586206896,13.333333333333334,10.833333333333334,0.0229002743904376,0.000173606288662126,0.22435222020930565,52.63622378595234,True,0.7172016592459072
172,HPC,2055.85498046875,11.730594558485334,flicker_40Hz,2768,1.20265780730897,0.0920060331825037,12.569444444444443,10.45138888888889,0.015661971347548598,-0.00011601624319180081,0.5071735383216925,30.75953994418751,True,0.811477661314708
169,HPC,1997.716796875,10.65727146526181,flicker_40Hz,2428,1.206896551724138,0.09375,10.9375,9.0625,0.011626328447977455,-0.0002768041063034006,0.7202622142868383,287.4177592355931,True,0.9082033153843198
168,HPC,1994.9326171875,10.583290109407478,flicker_40Hz,2553,1.1443661971830985,0.06732348111658455,11.284722222222221,9.86111111111111,0.0023424817404307874,-0.0003863601589114598,0.9860914791989999,276.5565360598812,True,0.9965941923381803
114,HPC,1418.731201171875,10.58289448718366,flicker_40Hz,2610,1.1923076923076925,0.08771929824561407,11.840277777777779,9.930555555555555,0.01721693016634196,-8.675231653486552e-05,0.46136198296832676,337.92223089213843,True,0.7859591826777483
113,HPC,1419.045654296875,10.331278752834171,flicker_40Hz,2614,1.3307692307692307,0.14191419141914188,12.01388888888889,9.027777777777779,0.03429997047431756,0.0007942363434539203,0.046159339210867,0.14860926593854842,True,0.32110844668429217
92,HPC,1271.423828125,9.851388995340573,flicker_40Hz,2438,1.1586715867158672,0.07350427350427349,10.902777777777779,9.409722222222223,0.01730906059291124,-0.00011061406456753407,0.48174592125464505,43.483005237951794,True,0.7899714129680911
155,HPC,1893.3917236328125,9.824486684120815,flicker_40Hz,2160,1.3043478260869568,0.1320754716981133,10.416666666666668,7.986111111111111,0.0229314978153092,6.291975860844184e-05,0.3211875205178284,344.08265171921494,True,0.7489160628920196
153,HPC,1856.607421875,9.578805283128627,flicker_40Hz,2184,1.2125000000000001,0.09604519774011303,10.104166666666668,8.333333333333334,0.030403037758715758,0.0004666829297425766,0.13281831014332177,328.58790672809204,True,0.5903036006369856
185,HPC,2179.346923828125,8.918511791573131,flicker_40Hz,2184,1.2094017094017095,0.09477756286266927,9.82638888888889,8.125,0.02045333997160494,-3.955445289463565e-05,0.4011022020558746,327.2881470460964,True,0.7550159097522346
184,HPC,2179.62841796875,8.91257745821583,flicker_40Hz,2106,1.2669683257918551,0.11776447105788422,9.722222222222221,7.673611111111111,0.017526189855948768,-0.0001677461288335393,0.5237239742980403,103.25626590812162,True,0.8195465010285424
88,HPC,1212.61376953125,8.199666210892282,flicker_40Hz,2010,1.190909090909091,0.0871369294605809,9.097222222222221,7.638888888888888,0.014783839687142851,-0.0002790893723498101,0.6445362674476622,52.86020130196828,True,0.89674611123153
192,HPC,2349.681640625,8.056450965869459,flicker_40Hz,2022,1.2570093457943927,0.11387163561076609,9.340277777777779,7.430555555555555,0.022724710755080643,2.186344994557221e-05,0.35202163844142886,343.4947711691759,True,0.7489160628920196
118,HPC,1436.7525634765625,8.014515010144544,flicker_40Hz,2068,1.2666666666666666,0.11764705882352935,9.895833333333332,7.8125,0.03513338294613649,0.0007511588326521825,0.07786210424092739,3.31042267619132,True,0.46009495683754226
132,HPC,1567.6287841796875,7.793362187029193,flicker_40Hz,1874,1.277777777777778,0.12195121951219517,8.784722222222223,6.875,0.013908721135251535,-0.00034034702121703514,0.6959685200011118,133.0522234647707,True,0.9003596476244511
129,HPC,1544.405517578125,7.7035559422220645,flicker_40Hz,2014,1.2454545454545454,0.10931174089068825,9.51388888888889,7.638888888888889,0.019791390391960855,-0.00010487727016142134,0.4544063383130864,318.33142037257056,True,0.7859591826777483
