unit,condition,n_trials,fr_pre_hz,fr_stim_hz,baseline_sd_hz,z_stim,z_stim_sem,delta_hz,mod_index,pct_change,p_wilcoxon,p_permutation,q_wilcoxon,z_pct_population,responder,direction,label,region,depth_um,fr_hz,cell_type,responder_legacy
175,flicker_40Hz,60,14.3,14.245833333333334,8.315902674282306,-0.006513624411957434,0.10962399256538562,-0.05416666666666714,-0.001897533206831136,-0.37878787878788206,0.6639910104169989,0.965003499650035,0.8050335310615928,-0.26034069558381795,False,none,good,HPC,2050.2314453125,14.512214414163402,interneuron,False
15,flicker_20Hz,60,0.36666666666666664,0.09583333333333334,0.8175338414530031,-0.3312808835558184,0.03492812529066068,-0.2708333333333333,-0.5855855855855856,-73.86363636363636,0.12086061800142132,0.0117988201179882,0.2175491124025584,-0.4039751931668407,False,none,good,CTX,422.42724609375,0.5637616689434286,principal,False
25,flicker_20Hz,60,20.275,22.0625,16.294801344215816,0.10969756318229139,0.1391862261547067,1.7875000000000014,0.042220253912016566,8.81627620221949,0.274238580172234,0.19168083191680832,0.3739617002348645,-0.17566512206428236,False,none,good,CTX,480.804443359375,17.962435828097185,interneuron,False
23,flicker_20Hz,60,4.225,6.7875,4.934679252193996,0.5192840038915788,0.19494774754386754,2.5625,0.2326901248581158,60.6508875739645,1.2683676815515447e-05,9.999000099990002e-05,7.134568208727439e-05,-0.03253043020753513,True,up,good,CTX,502.58251953125,6.988666583779414,principal,False
20,flicker_20Hz,60,9.041666666666666,3.9458333333333333,5.134868891322684,-0.992397944559925,0.042236806302092846,-5.095833333333333,-0.3923644529996792,-56.3594470046083,2.8859485721104963e-09,9.999000099990002e-05,2.5973537148994468e-08,-0.3556395987868979,True,down,good,CTX,511.6981201171875,7.8803990762695815,interneuron,False
27,flicker_20Hz,60,9.616666666666667,11.4625,14.298384010465465,0.12909384249173234,0.15031185729946403,1.8458333333333332,0.08756671278908876,19.194107452339686,0.001441908102283166,0.010298970102989701,0.004991220354057113,-0.14700805994271737,True,up,good,CTX,546.5692138671875,13.136635941941435,interneuron,False
30,flicker_20Hz,60,6.583333333333333,9.516666666666667,5.852832623398188,0.5011818246102899,0.16900692069632872,2.9333333333333345,0.18219461697722572,44.55696202531647,2.85250373674141e-07,9.999000099990002e-05,2.1393778025560576e-06,-0.07697176029970702,True,up,good,CTX,555.851318359375,6.068844913398031,interneuron,False
32,flicker_20Hz,60,21.208333333333332,18.333333333333332,5.538227448998114,-0.5191191633922686,0.0833230674941119,-2.875,-0.07270811380400422,-13.555992141453832,8.291882934089501e-05,0.00019998000199980003,0.00037313473203402753,-0.23744329789630342,True,down,good,CTX,582.375,21.277750063708364,principal,False
35,flicker_20Hz,60,9.375,5.220833333333333,2.885711438878561,-1.439564126439839,0.10626580397423757,-4.154166666666667,-0.284613188695404,-44.31111111111111,2.399789260423464e-10,9.999000099990002e-05,2.6997629179763973e-09,-0.3223696503901718,True,down,good,CTX,599.0913696289062,8.014119387920724,principal,False
45,flicker_20Hz,60,0.4,0.16666666666666666,0.5352015302352019,-0.4359728441560915,0.0644222796225698,-0.23333333333333336,-0.41176470588235303,-58.333333333333336,0.009170157641390675,0.0032996700329967,0.025791068366411273,-0.36109023503062426,True,down,good,CTX,738.1071166992188,0.2599238010497071,principal,False
50,flicker_20Hz,60,4.608333333333333,15.670833333333333,5.297978241398098,2.0880606706834426,0.14405417099472204,11.0625,0.5455105814670228,240.05424954792042,1.6600971939675904e-11,9.999000099990002e-05,6.480844319786279e-10,0.4628691542524378,True,up,good,CTX,766.4937744140625,8.659379234971063,interneuron,False
49,flicker_20Hz,60,13.325,14.195833333333333,5.971560424068828,0.14583011331902018,0.14978806451978108,0.8708333333333336,0.031642694928084796,6.535334584115074,0.07221115545238924,0.065993400659934,0.17102642080829028,-0.1819636524672434,False,none,good,CTX,790.2333984375,12.928538652212142,principal,False
57,flicker_20Hz,60,3.658333333333333,3.4625,5.94215881750306,-0.032956596978945096,0.09676889116430179,-0.1958333333333333,-0.027501462843768282,-5.353075170842824,0.7207861102817491,0.5314468553144686,0.7911067064067977,-0.2147919851567446,False,none,good,CTX,799.13525390625,3.417384769356727,principal,False
56,flicker_20Hz,60,1.1333333333333333,0.925,3.27272584603062,-0.06365743515791701,0.04351241193746049,-0.20833333333333326,-0.10121457489878538,-18.382352941176464,0.030570277409547094,0.6186381361863814,0.08092132255468348,-0.25077067988250945,False,none,good,CTX,801.6923828125,1.461032872567075,principal,False
55,flicker_20Hz,60,0.7,0.9,0.992343570902671,0.20154310045871807,0.13552240564787613,0.20000000000000007,0.12500000000000003,28.571428571428584,0.08235077816211031,0.19338066193380662,0.17646595320452207,-0.12111377939730172,False,none,good,CTX,805.0826416015625,0.5582229578099492,principal,False
58,flicker_20Hz,60,0.38333333333333336,6.754166666666666,1.2932899404451024,4.926067337337154,0.5996482471609034,6.370833333333333,0.8925861062463513,1661.95652173913,2.8803752532383463e-11,9.999000099990002e-05,6.480844319786279e-10,4.389271575230904,True,up,good,CTX,842.6435546875,1.3597535832691678,principal,True
65,flicker_20Hz,60,35.483333333333334,41.81666666666667,11.636429743488389,0.544267741304191,0.10465940450807357,6.333333333333336,0.0819318671841311,17.84875528417098,0.0005549878612119923,0.00039996000399960006,0.0022704048867763322,-0.15072307897987375,True,up,good,CTX,872.6962890625,36.99463414940352,interneuron,False
64,flicker_20Hz,60,4.316666666666666,1.8416666666666666,5.2706146255511275,-0.46958470232325117,0.026703035954724966,-2.4749999999999996,-0.40189445196211093,-57.33590733590733,0.0008584519899990506,9.999000099990002e-05,0.0032191949624964396,-0.3583359698974762,True,down,good,CTX,879.1714477539062,5.669662089563702,principal,False
67,flicker_20Hz,60,0.39166666666666666,7.325,0.6112758723280312,11.342396530273442,1.420391096674035,6.933333333333334,0.898488120950324,1770.212765957447,2.1308841524249964e-10,9.999000099990002e-05,2.6997629179763973e-09,4.688207435801549,True,up,good,CTX,927.9193115234375,1.1939878714886087,principal,True
66,flicker_20Hz,60,0.2,0.041666666666666664,0.5614750549117347,-0.2819953120770855,0.026281378810147787,-0.15833333333333335,-0.6551724137931035,-79.16666666666667,0.24296637714008051,0.0254974502549745,0.35260302314991376,-0.4186188374084756,False,none,good,CTX,939.7611694335938,0.27733117889778486,principal,False
72,flicker_20Hz,60,2.466666666666667,1.2125,1.4375905768565218,-0.8724087976488164,0.07024825637150534,-1.2541666666666669,-0.34088335220838056,-50.8445945945946,8.892496166585398e-07,9.999000099990002e-05,5.716604678519185e-06,-0.34041103471642364,True,down,good,CTX,956.0975341796875,2.0576311860875593,principal,False
77,flicker_20Hz,60,2.675,2.7875,2.2564878214020108,0.049856240717532946,0.1278179637786474,0.11250000000000027,0.020594965675057256,4.2056074766355245,0.9941227594484031,0.7946205379462054,0.9941227594484031,-0.18839689779916785,False,none,good,HPC,1062.6483154296875,3.2547840353667277,principal,False
79,flicker_20Hz,60,0.49166666666666664,0.1875,0.9720311891952653,-0.3129186285868903,0.03848201574165226,-0.30416666666666664,-0.4478527607361963,-61.86440677966102,0.09437144718027478,0.014998500149985002,0.18463978796140718,-0.3708408456031414,False,none,good,HPC,1104.9130859375,0.6132144469209223,principal,False
85,flicker_20Hz,60,13.041666666666666,15.833333333333334,7.229466343778025,0.3861511395055169,0.14958119571835773,2.791666666666668,0.09668109668109673,21.405750798722057,0.007693056395038408,0.0065993400659934,0.023079169185115222,-0.1409008879102861,True,up,good,HPC,1198.19384765625,15.414628706696707,interneuron,False
